THy3Je6GUuKcb9HwoCHl7QLiSll1_j0xAHl5tZl6Y4K6r09A" "Mozilla/5.0 (iPhone; CPU iPhone
 OS 15_2_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E
 148 Instagram 260.1.0.16.106 (iPhone12,5; iOS 15_2_1; en_GB; en-GB; scale=3
 .00; 1242x2688; 416871149)"
196.150.164.37 - - [14/Nov/2022:10:25:20 +0000] "GET /product/the-gobbler/ HTTP/1.1" 200 26935 "https://crispyhen.com/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/plugins/woo-product-variation-gallery/assets/css/rtwpvg.min.css?ver=1668421520 HTTP/1.1" 200 2072 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/plugins/woo-product-variation-swatches/assets/css/rtwpvs.min.css?ver=1668421520 HTTP/1.1" 200 2005 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/plugins/woo-product-variation-gallery/assets/js/rtwpvg.min.js?ver=1668421520 HTTP/1.1" 200 3018 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/plugins/woo-product-variation-swatches/assets/js/rtwpvs.min.js?ver=1668421520 HTTP/1.1" 200 4547 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/uploads/2022/11/GOBBLER.jpg HTTP/1.1" 200 698296 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:21 +0000] "GET /wp-content/uploads/2022/11/CHEERLEADER.jpg HTTP/1.1" 200 781874 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:30 +0000] "GET /wp-content/uploads/2022/11/HOMEY.jpg HTTP/1.1" 200 791505 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
197.37.117.208 - - [14/Nov/2022:10:25:30 +0000] "GET /loklebackend/public/api/v1/passengers/experiences/1 HTTP/1.1" 200 3008 "-" "okhttp/4.9.1"
197.37.117.208 - - [14/Nov/2022:10:25:30 +0000] "GET /loklebackend/public/api/v1/passengers/experiences/88 HTTP/1.1" 200 1488 "-" "okhttp/4.9.1"
197.37.117.208 - - [14/Nov/2022:10:25:31 +0000] "GET /loklebackend/public/api/v1/passengers/experiences/1 HTTP/1.1" 200 3007 "-" "okhttp/4.9.1"
196.150.164.37 - - [14/Nov/2022:10:25:34 +0000] "GET /wp-content/uploads/2021/01/responsive_bg01.png HTTP/1.1" 404 501 "-" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
196.150.164.37 - - [14/Nov/2022:10:25:34 +0000] "GET /wp-content/uploads/2022/11/SMOKEY.jpg HTTP/1.1" 200 739261 "https://crispyhen.com/product/the-gobbler/" "Mozilla/5.0 (Linux; Android 12; SM-A715F Build/SP1A.210812.016; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/106.0.5249.126 Mobile Safari/537.36 Instagram 260.0.0.23.115 Android (31/12; 420dpi; 1080x2270; samsung; SM-A715F; a71; qcom; en_GB; 416690770)"
